Sku,Count
BLA-000343-1207,304
BLA-000344-0107,277
BLA-000344-2904,0
BLA-000345-0107,0
BLA-000345-1207,331
BLA-000346-0107,234
BLA-000346-0404,0
BLA-000347-0106,285
BLA-000347-1807,0
BLA-000348-0107,264
BLA-000348-0507,3
BLA-000349-0107,280
BLA-000349-0407,7
BLA-000350-0107,8
BLA-000350-0404,5
BLA-000351-0207,6
BLA-000352-0107,173
BLA-000352-1202,24
BLA-000353-0104,117
BLA-000353-0207,0
BLA-000354-0104,54
BLA-000354-0706,0
BLA-000355-1204,113
BLA-000355-1707,0
30S-000268-0404,0
30S-000277-3107,0
30S-000443-0107p,0
30S-000447-0107,0
30S-000447-0404,48
30S-000447-0507,0
30S-000448-1806p,6
30S-000448-2907p,170
30S-000451-0107,196
30S-000451-0202,247
30S-000451-0606,223
30S-000452-0107,289
30S-000452-0607,399
30S-000453-0104p,394
30S-000453-0606p,441
30S-000453-0707p,41
30S-000453-2106p,66
30S-000456-0304,162
30S-000456-1207,0
30S-000457-0107,21
30S-000457-0702,0
30S-000457-2904,1
30S-000459-0107p,8
30S-000460-0702,0
30S-000461-0107,0
30S-000462-0104,6
30S-000462-0707,42
30S-000463-0107,15
30S-000463-2907,52
30S-000464-1804,0
30S-000464-2906,0
30S-000466-0107,0
30S-000466-1406,202
30S-000467-1402,42
30S-000472-0507,109
30S-000472-0707,77
30S-000473-0104p,117
30S-000473-1707p,89
30S-000474-0106p,0
30S-000474-1707p,0
30S-000475-0107p,3
30S-000475-0604,135
30S-000476-0107p,124
30S-000476-1702,88
30S-000477-0107p,0
30S-000477-0702,70
30S-000478-0107p,17
30S-000478-0404,49
30S-000482-0107p,10
30S-000482-0702,0
30S-000483-0107p,23
30S-000483-0707p,6
30S-000487-1707,0
30S-000487-3202,0
30S-000489-2706,49
30S-000494-0104p,199
30S-000494-2610p,1
30S-000495-3202,189
30S-000495-3207,160
30S-000496-0707,0
30S-000499-0304,22
30S-000499-2909,0
30S-000500-0107,6
30S-000501-0104,219
30S-000501-0202,2
30S-000501-1007,2
30S-000502-0106,120
30S-000502-3207p,130
30S-000503-1207p,0
30S-000503-1704,250
30S-000504-3207,6
30S-000505-0104,0
30S-000505-0404,0
30S-000506-0107,0
30S-000506-3202,1
30S-000507-0407p,2
30S-000507-1707p,0
30S-000508-0107,28
30S-000508-2202p,0
30S-000509-0107,0
30S-000509-0606,0
30S-000515-1704,332
30S-000515-3202p,0
30S-000516-1707p,176
30S-000516-1202,311
30S-000517-0404,0
30S-000518-0107,140
30S-000234-0606,0
30S-000410-1707,0
30S-000410-3202,4
BLA-000336-0702,0
BLA-000336-2906,71
BLA-000339-2907,9
BLA-000342-1804,37
BLA-000345-0702,81
BLA-000346-1202,141
BLA-000355-0706,0
BLA-000358-0307,451
